Allotment_ID,Program_ID,Personnel_ID,User_Action,Feedback_Score,Is_Optimal_Match
AL001,D26AI01,PB072,Accepted,4,1
AL002,D26AI01,PB054,Accepted,5,1
AL003,D26AI01,PB076,Accepted,4,1
AL004,D26AI01,PB092,Rejected,3,0
AL005,W26SG02,PB045,Rejected,2,0
AL006,W26SG02,PB048,Rejected,2,0
AL007,W26SG02,PB071,Accepted,4,0
AL008,W26SG02,PB067,Accepted,4,1
AL009,W26SG02,PB082,Accepted,5,1
AL010,W26SG02,PB061,Accepted,4,0
AL011,S26SG03,PB068,Accepted,4,1
AL012,S26SG03,PB074,Accepted,5,1
AL013,S26SG03,PB083,Rejected,1,0
AL014,S26SG03,PB029,Accepted,4,1
AL015,N26CN04,PB024,Accepted,5,1
AL016,N26CN04,PB094,Accepted,5,1
AL017,N26CN04,PB085,Accepted,4,1
AL018,N26CN04,PB075,Accepted,4,1
AL019,N26CN04,PB057,Accepted,5,0
AL020,N26CN04,PB023,Accepted,4,1
AL021,E26AW05,PB028,Rejected,3,0
AL022,E26AW05,PB048,Rejected,2,0
AL023,E26AW05,PB058,Accepted,5,1
AL024,E26AW05,PB076,Rejected,2,0
AL025,E26AW05,PB013,Rejected,1,0
AL026,D26AD06,PB058,Accepted,5,1
AL027,D26AD06,PB028,Accepted,5,1
AL028,D26AD06,PB012,Accepted,4,1
AL029,D26AD06,PB088,Accepted,5,1
AL030,D26AD06,PB080,Rejected,3,0
AL031,D26AD06,PB013,Accepted,5,1
AL032,C26AI07,PB070,Rejected,2,0
AL033,C26AI07,PB063,Rejected,2,0
AL034,C26AI07,PB055,Accepted,4,1
AL035,C26AI07,PB058,Accepted,5,1
AL036,C26AI07,PB023,Accepted,5,1
AL037,NE26SG08,PB049,Rejected,3,0
AL038,NE26SG08,PB038,Rejected,1,0
AL039,NE26SG08,PB062,Rejected,2,0
AL040,NE26SG08,PB094,Rejected,2,0
AL041,NE26SG08,PB024,Accepted,4,1
AL042,D26AI09,PB080,Rejected,2,0
AL043,D26AI09,PB083,Rejected,3,0
AL044,D26AI09,PB047,Rejected,3,1
AL045,D26AI09,PB071,Rejected,3,0
AL046,D26AI09,PB064,Rejected,3,0
AL047,W26AW10,PB091,Accepted,5,0
AL048,W26AW10,PB092,Rejected,3,0
AL049,W26AW10,PB084,Rejected,1,0
AL050,W26AW10,PB080,Rejected,3,0
AL051,D26SG11,PB057,Rejected,1,0
AL052,D26SG11,PB094,Rejected,1,0
AL053,D26SG11,PB066,Rejected,2,0
AL054,D26SG11,PB033,Accepted,5,1
AL055,D26SG11,PB037,Rejected,1,0
AL056,D26SG11,PB044,Rejected,1,0
AL057,D26SG11,PB075,Accepted,4,1
AL058,S26CN12,PB066,Accepted,5,0
AL059,S26CN12,PB029,Accepted,4,1
AL060,S26CN12,PB093,Rejected,2,0
AL061,S26CN12,PB074,Accepted,5,1
AL062,S26CN12,PB061,Accepted,5,0
AL063,D26AD13,PB058,Accepted,4,1
AL064,D26AD13,PB017,Rejected,2,0
AL065,D26AD13,PB047,Accepted,4,1
AL066,D26AD13,PB074,Accepted,4,1
AL067,D26AD13,PB022,Accepted,4,1
AL068,D26AD13,PB064,Rejected,2,0
AL069,D26AD13,PB085,Accepted,4,1
AL070,C26AW14,PB073,Rejected,3,0
AL071,C26AW14,PB060,Rejected,3,0
AL072,C26AW14,PB055,Accepted,4,1
AL073,C26AW14,PB044,Rejected,1,0
AL074,C26AW14,PB061,Accepted,4,1
AL075,C26AW14,PB006,Accepted,5,1
AL076,E26AI15,PB091,Rejected,3,0
AL077,E26AI15,PB036,Accepted,5,0
AL078,E26AI15,PB084,Accepted,5,1
AL079,E26AI15,PB074,Rejected,3,0
AL080,E26AI15,PB092,Rejected,2,0
AL081,E26AI15,PB063,Accepted,4,0
AL082,N26SG16,PB061,Rejected,2,0
AL083,N26SG16,PB088,Accepted,5,1
AL084,N26SG16,PB041,Accepted,5,1
AL085,N26SG16,PB074,Rejected,3,0
AL086,N26SG16,PB056,Rejected,2,0
