Personnel_ID,Topic,Title,Completed_Date
PB001,Signal,Satellite Uplinking,2022-07-29
PB001,Signal,Digital Transmitter Maintenance,2024-08-17
PB001,Signal,Satellite Uplinking,2021-12-02
PB001,Signal,Satellite Uplinking,2026-01-09
PB001,Signal,RF & Antenna Systems,2024-02-29
PB001,Signal,RF & Antenna Systems,2022-10-17
PB003,Signal,Satellite Uplinking,2022-06-24
PB003,Signal,RF & Antenna Systems,2024-10-15
PB003,Signal,Satellite Uplinking,2026-02-02
PB003,Content,Vernacular Storytelling,2024-01-21
PB003,Signal,Satellite Uplinking,2022-01-29
PB004,Signal,Satellite Uplinking,2022-04-18
PB004,Signal,Satellite Uplinking,2026-05-06
PB004,Administration,GeM Procurement,2025-09-28
PB004,Signal,Satellite Uplinking,2024-05-02
PB004,Signal,Digital Transmitter Maintenance,2026-04-18
PB005,Signal,Satellite Uplinking,2021-11-09
PB005,Signal,Satellite Uplinking,2022-11-21
PB005,Signal,Satellite Uplinking,2025-07-24
PB005,Signal,Digital Transmitter Maintenance,2023-06-16
PB008,AI,AI for Content Tagging,2021-11-12
PB008,AI,AI for Content Tagging,2021-09-07
PB008,Administration,GeM Procurement,2024-08-12
PB009,Administration,Financial Rules,2025-11-23
PB009,Signal,Digital Transmitter Maintenance,2022-10-15
PB009,Awareness,Media Ethics Workshop,2021-08-19
PB009,Signal,Digital Transmitter Maintenance,2023-03-18
PB011,Signal,Satellite Uplinking,2024-03-24
PB011,AI,Generative AI in Media,2024-12-29
PB011,Signal,RF & Antenna Systems,2026-02-23
PB012,AI,Machine Learning Basics,2022-08-20
PB012,Signal,Satellite Uplinking,2023-01-07
PB012,Signal,Satellite Uplinking,2022-11-11
PB012,Content,Documentary Production,2023-02-10
PB012,Signal,Satellite Uplinking,2022-09-07
PB012,Signal,Digital Transmitter Maintenance,2023-12-03
PB015,Administration,Vigilance Procedures,2025-01-22
PB015,Administration,GeM Procurement,2021-09-08
PB015,Administration,GeM Procurement,2025-10-11
PB015,Signal,Satellite Uplinking,2023-12-19
PB017,Signal,RF & Antenna Systems,2023-07-09
PB017,Signal,Digital Transmitter Maintenance,2022-10-23
PB017,Signal,Satellite Uplinking,2022-04-07
PB017,Awareness,Media Ethics Workshop,2025-12-06
PB017,Administration,GeM Procurement,2022-09-20
PB017,Signal,RF & Antenna Systems,2026-01-03
PB018,AI,AI for Content Tagging,2025-04-17
PB018,Administration,GeM Procurement,2024-10-06
PB018,Signal,Satellite Uplinking,2026-01-04
PB018,Content,Vernacular Storytelling,2025-06-27
PB018,Content,Vernacular Storytelling,2021-10-21
PB019,AI,AI for Content Tagging,2023-09-08
PB020,AI,AI for Content Tagging,2023-07-17
PB020,AI,AI for Content Tagging,2026-03-04
PB020,AI,Generative AI in Media,2025-06-22
PB020,Content,Documentary Production,2024-04-07
PB021,AI,Generative AI in Media,2022-01-26
PB021,Signal,Satellite Uplinking,2021-07-26
PB021,Administration,Financial Rules,2023-04-07
PB021,Signal,Satellite Uplinking,2025-10-16
PB021,Administration,Vigilance Procedures,2022-03-29
PB021,Signal,RF & Antenna Systems,2024-04-23
PB022,AI,AI for Content Tagging,2022-02-03
PB023,AI,Generative AI in Media,2022-12-05
PB023,Content,Studio Direction,2021-10-12
PB023,AI,Generative AI in Media,2022-10-17
PB024,AI,AI for Content Tagging,2022-03-10
PB024,Signal,RF & Antenna Systems,2024-09-30
PB024,Administration,Vigilance Procedures,2023-07-04
PB024,Signal,Digital Transmitter Maintenance,2023-08-22
PB024,AI,AI for Content Tagging,2026-04-03
PB026,AI,Generative AI in Media,2025-10-13
PB026,AI,Machine Learning Basics,2025-02-13
PB026,AI,AI for Content Tagging,2023-01-28
PB026,AI,Machine Learning Basics,2022-11-18
PB027,AI,AI for Content Tagging,2021-11-19
PB028,AI,AI for Content Tagging,2025-11-03
PB028,Content,Vernacular Storytelling,2024-02-15
PB028,AI,Generative AI in Media,2022-10-06
PB028,Awareness,Disaster Communication,2022-10-04
PB028,AI,Generative AI in Media,2023-06-23
PB029,AI,AI for Content Tagging,2026-05-18
PB029,AI,Machine Learning Basics,2026-03-28
PB029,AI,AI for Content Tagging,2025-06-26
